Validator	Script	TxId	Measured CPU	Measured Memory	Reference CPU	Reference Memory	Message
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	7a758e17486d1a30462c32a5d5309bd1e98322a9dcbe277c143ed3aede9d265f	1357024860	178132361592	1106333890	3789654	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	2cb21612178a2d9336b59d06cbf80488577463d209a453048a66c6eee624a695	1182915946	6033705	1265517498	4916962	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	66af9e473d75e3f464971f6879cc0f2ef84bafcb38fbfa1dbc31ac2053628a38	5265431348	29164124	3623580735	12139508	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	18cefc240debc0fcab14efdd451adfd02793093efe7bc76d6322aed6ddb582ad	1361190896	7325872	1423522334	5418272	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	d64607eb8a1448595081547ea8780886fcbd9e06036460eea3705c88ea867e33	883550667	5593989	751394221	2629920	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	e34b48f80d49360e88c612f4016f7d68cb5678dd8cd5ddb981375a028b3a40a5	991830097	5163711	858547280	3216750	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	9fabc4fc3440cdb776b28c9bb1dd49c9a5b1605fe1490aa3f4f64a3fa8881b25	1757781638	10381370	1702346439	6253606	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	ccab11ce1a8774135d0e3c9e635631b68af9e276b5dabc66ff669d5650d0be1c	36885295386	239994029	22307990989	66480426	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	3db496e6cd39a8b888a89d0de07dace4397878958cab3b9d9353978b08c36d8a	2728176196	16957790	2190902582	7690792	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	e3afd22d01ff12f381cf915fd32358634e6c413f979f2492cf3339319d8cc079	683151026	4029986	609168808	2209158	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	0705030002040601010206030604080208020207000101060706050502040301	4532444386	28102149	3340958723	10990808	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	acb9c83c2b78dabef8674319ad69ba54912cd9997bdf2d8b2998c6bfeef3b122	1613625904	8429176	1371270474	5159514	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	dc241ac6ad1e04fb056d555d6a4f2d08a45d054c6f7f34355fcfeefebef479f3	1018702076	5808428	933645979	3455088	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	cf542b7df466b228ca2197c2aaa89238a8122f3330fe5b77b3222f570395d9f5	920543254	4959897	967574107	3650620	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	d1ab832dfab25688f8845bec9387e46ee3f00ba5822197ade7dd540489ec5e95	564153045900	3231625414	312017772708	940512500	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	8d9ae67656a2911ab15a8e5301c960c69aa2517055197aff6b60a87ff718d66c	1444143587	8452515	1166533554	4133494	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	bb5345bfbbc460af84e784b900ec270df1948bb1d1e29eacecd022eeb168b315	2146034398	10769502	2388347578	9269908	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	28fdce478e179db0e38fb5f3f4105e940ece450b9ce8a0f42a6e313b752e6f2c	9809118827	62374914	6306870340	19636812	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	5e2c68ac9f62580d626636679679b97109109df7ac1a8ce86d3e43dfb5e4f6bc	943087615	4911906	1008647151	3877814	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	53ed4db7ab33d6f907eec91a861d1188269be5ae1892d07ee71161bfb55a7cb7	743643741	4348763	664026702	2403650	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	12910f24d994d451ff379b12c9d1ecdb9239c9b87e5d7bea570087ec506935d5	1071985374	6138916	981282693	3635816	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	07070c070510030509010e050d00040907050e0a0d06030f1006030701020607	1838054734	9371779	2048808325	7933258	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	4f9e8d361b85e62db2350dd3ae77463540e7af0d28e1eb68faeecc45f4655f57	3934862960	24998942	2742718932	8944946	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	71965c9ccae31f1ffc1d85aa20a356d4ed97a420954018d8301ec4f9783be0d7	896180082	4919645	940252098	3545912	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	5f130d19918807b60eab4c03119d67878fb6c6712c28c54f5a25792049294acc	888904057	5600083	751394221	2629920	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	96e1a2fa3ceb9a402f2a5841a0b645f87b4e8e75beb636692478ec39f74ee221	1614096706	11006865	1255534638	4127072	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	82213dfdb6a812b40446438767c61a388d2c0cfd0cbf7fd4a372b0dc59fa17e1	6367875083	36146221	4187566258	13794730	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	a9a853b6d083551f4ed2995551af287880ef42aee239a2d9bc5314d127cce592	1357024860	178132361592	1106333890	3789654	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	2797d7ac77c1b6aff8e42cf9a47fa86b1e60f22719a996871ad412cbe4de78b5	87480569598	587254024	53803271588	159395658	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	0101020201010201010200010102000201000201010102000102010201010000	883550667	5593989	751394221	2629920	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	52df7c8dfaa5f801cd837faa65f2fd333665fff00a555ce8c55e36ddc003007a	550723495	2942739	526501008	1990032	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	331e4a1bb30f28d7073c54f9a13c10ae19e2e396c299a0ce101ee6bf4b2020db	1013348686	5802334	933645979	3455088	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	6d88f7294dd2b5ce02c3dc609bc7715bd508009738401d264bf9b3eb7c6f49c1	972719976	5296296	997383500	3775422	
