Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Sha3_256/ExMemory 3200,2.645267437751497e-4,2.643175416512471e-4,2.6472975244160024e-4,7.095195586109765e-7,6.278015936674639e-7,8.452783583512999e-7
Sha3_256/ExMemory 3300,2.7529993151559134e-4,2.73361324433326e-4,2.789951155402334e-4,9.474889718394595e-6,5.139444594538845e-6,1.6126766180673635e-5
Sha3_256/ExMemory 3400,2.811362858096822e-4,2.809387922716407e-4,2.814773838991365e-4,7.822570546982085e-7,6.521203016872029e-7,1.0908801424124879e-6
Sha3_256/ExMemory 3500,2.919215824520735e-4,2.8924287985836644e-4,2.977053780166615e-4,1.3404102380600741e-5,7.877546666901048e-6,2.296415026363657e-5
Sha3_256/ExMemory 3600,2.9641683576007104e-4,2.96184282856121e-4,2.9666576700255413e-4,8.443957433740197e-7,7.142717146851673e-7,1.0615987646868138e-6
Sha3_256/ExMemory 3700,3.117917825280098e-4,3.080284996038482e-4,3.1899817425999e-4,1.8997137422574294e-5,1.2007626685922711e-5,3.235789603660482e-5
Sha3_256/ExMemory 3800,3.138418193376707e-4,3.130633602317048e-4,3.167359096142993e-4,4.809206500705106e-6,1.5070102536346182e-6,9.673864447340924e-6
Sha3_256/ExMemory 3900,3.226246727834165e-4,3.214799094594774e-4,3.251765737306052e-4,5.574613574186278e-6,2.5656572986777256e-6,1.011841219018773e-5
Sha3_256/ExMemory 4000,3.299759088419081e-4,3.291296998037539e-4,3.337808795111908e-4,5.428480806672274e-6,1.0437688873425854e-6,1.2363024965508298e-5
Sha3_256/ExMemory 4100,3.391876810985129e-4,3.3769432028779524e-4,3.4477233813192505e-4,8.368027787407515e-6,2.3521176690050385e-6,1.7089237080783867e-5
Sha3_256/ExMemory 4200,3.4733382958683e-4,3.4631254711068584e-4,3.5235137251336644e-4,5.945347419239239e-6,2.652678424821094e-6,1.0650312328248931e-5
Sha3_256/ExMemory 4300,3.551006363525694e-4,3.5320536747064223e-4,3.637350145846654e-4,1.1847918180600792e-5,2.238965315120008e-6,2.6895250472070608e-5
Sha3_256/ExMemory 4400,3.637650117179337e-4,3.619240093706887e-4,3.6736976103598725e-4,8.44968871138619e-6,4.404474713897475e-6,1.2935554668402809e-5
Sha3_256/ExMemory 4500,3.702681885697342e-4,3.697138586149572e-4,3.717479423758523e-4,3.0712936668353496e-6,1.3640863652700764e-6,5.340624188185686e-6
Sha3_256/ExMemory 4600,3.804999734847742e-4,3.78693795254635e-4,3.853775166623094e-4,1.0147808501020344e-5,2.4290682542110056e-6,1.667368586024368e-5
Sha3_256/ExMemory 4700,3.8616899638957956e-4,3.857673766271441e-4,3.864800176379806e-4,1.1061741517876062e-6,8.974192082019353e-7,1.4308857301750862e-6
Sha3_256/ExMemory 4800,3.978389254774209e-4,3.957967279748224e-4,4.026299334478337e-4,9.609050238805331e-6,5.139955311391413e-6,1.657791349717104e-5
Sha3_256/ExMemory 4900,4.025225145684243e-4,4.022613968625995e-4,4.027892298522455e-4,9.821961102207429e-7,7.639333841866274e-7,1.2886878018913158e-6
Sha3_256/ExMemory 5000,4.162329789885709e-4,4.1251745844388425e-4,4.217435029055321e-4,1.5292601192577002e-5,7.05962235797488e-6,2.5032947335677694e-5
Sha3_256/ExMemory 5100,4.1943438386754696e-4,4.190847929422029e-4,4.1994096640229656e-4,1.3873644707389648e-6,1.073627337220032e-6,1.7820406296157006e-6
Sha3_256/ExMemory 5200,4.330948072589866e-4,4.2906709273188054e-4,4.441799520609822e-4,1.975442970117436e-5,1.110384147962316e-5,3.509153127292777e-5
Sha3_256/ExMemory 5300,4.3524739374595396e-4,4.3459518729078994e-4,4.366330297009498e-4,3.51148946792127e-6,1.1378610402931546e-6,5.77061077799533e-6
Sha3_256/ExMemory 5400,4.4973653690508246e-4,4.46687626183288e-4,4.5763418432502833e-4,1.4531176007125414e-5,8.83272499134295e-6,2.6047996278097736e-5
Sha3_256/ExMemory 5500,4.517321597942575e-4,4.511446413874956e-4,4.5270916223885655e-4,2.684056328869507e-6,1.339982416945773e-6,4.3346572449202866e-6
Sha3_256/ExMemory 5600,4.620586920873272e-4,4.599864321838071e-4,4.6742428937213756e-4,1.1585350981512137e-5,4.4115708502445996e-6,2.1186683516987442e-5
Sha3_256/ExMemory 5700,4.691680974543878e-4,4.678474201152604e-4,4.7304114565060974e-4,8.129133481530877e-6,1.404287651795333e-6,1.558250343429848e-5
Sha3_256/ExMemory 5800,4.7885815311529093e-4,4.758958392796403e-4,4.900224423910136e-4,1.809354647282925e-5,1.286420539244342e-6,4.1362210020782844e-5
Sha3_256/ExMemory 5900,4.867227718861056e-4,4.8462195861341225e-4,4.927285584263636e-4,9.694962993136838e-6,2.806847518834899e-6,1.716054015144236e-5
Sha3_256/ExMemory 6000,4.917112417228664e-4,4.909506543701908e-4,4.93410807689621e-4,3.771402681715245e-6,1.468251417729324e-6,7.063082649306646e-6
Sha3_256/ExMemory 6100,5.027445437975209e-4,5.00205075248875e-4,5.109749767517385e-4,1.3300140468166671e-5,5.0715246302615894e-6,2.506967057327059e-5
Sha3_256/ExMemory 6200,5.085554556122342e-4,5.081488722590571e-4,5.09002107385346e-4,1.5538828292777632e-6,1.3237187829140117e-6,1.939129430985185e-6
Sha3_256/ExMemory 6300,5.204435243367803e-4,5.177968907504205e-4,5.269560617532136e-4,1.374238280829412e-5,5.062283206955669e-6,2.3366768949403405e-5
Sha3_256/ExMemory 6400,5.250242348212562e-4,5.243102149293817e-4,5.272466684342717e-4,3.6900295683709567e-6,1.9716970659372538e-6,6.062346314150494e-6
Sha3_256/ExMemory 6500,5.394467125333673e-4,5.352294921910244e-4,5.482094510111754e-4,2.0760234641392665e-5,1.1300042577935506e-5,3.42293556843388e-5
Sha3_256/ExMemory 6600,5.40620328324675e-4,5.402275153893202e-4,5.411417368788464e-4,1.4924344114872122e-6,1.2162196051645175e-6,1.856712206315968e-6
Sha3_256/ExMemory 6700,5.595896358166738e-4,5.538169630427344e-4,5.764586191531628e-4,3.114999593014855e-5,1.4237772427848666e-5,5.891135624766578e-5
Sha3_256/ExMemory 6800,5.58240693470585e-4,5.577107698803046e-4,5.590664875762745e-4,2.0624522968645143e-6,1.4335312220058677e-6,2.7789350053108658e-6
Sha3_256/ExMemory 6900,5.6656882194439e-4,5.64856001264476e-4,5.729523861170457e-4,1.0527432108430517e-5,1.4564125804163299e-6,2.225097650902777e-5
Sha3_256/ExMemory 7000,5.764190079203797e-4,5.7376484227885e-4,5.838620838810023e-4,1.4380406797101204e-5,2.8680819495134106e-6,2.707489026374294e-5
Sha3_256/ExMemory 7100,5.839823099369686e-4,5.816701718361725e-4,5.904073623151961e-4,1.3522530347428497e-5,1.7344325404762626e-6,2.5740224672739022e-5
Sha3_256/ExMemory 7200,5.920836227397047e-4,5.897447732131362e-4,5.974391876826482e-4,1.1531107131151405e-5,1.5236243638035163e-6,2.3461856034524093e-5
Sha3_256/ExMemory 7300,5.981760292279402e-4,5.977773835065081e-4,5.986647247947988e-4,1.5614174461889224e-6,1.2872133061841739e-6,1.985867078503403e-6
Sha3_256/ExMemory 7400,6.104976543150946e-4,6.07647011300903e-4,6.178737839661571e-4,1.3550155056436926e-5,5.0359280108417205e-6,2.7865785398009244e-5
Sha3_256/ExMemory 7500,6.170259424780447e-4,6.15514796534929e-4,6.212257322367625e-4,8.019151068544995e-6,4.402371078453742e-6,1.5104735492307682e-5
Sha3_256/ExMemory 7600,6.279975462917164e-4,6.260529101465873e-4,6.342093513958581e-4,1.278034422649824e-5,8.831267322199388e-6,1.942117907736811e-5
Sha3_256/ExMemory 7700,6.30395327655802e-4,6.296449417294309e-4,6.323776672362189e-4,3.943886709730659e-6,1.663676710353678e-6,6.682579591114449e-6
Sha3_256/ExMemory 7800,6.466834909050727e-4,6.418644236219873e-4,6.563126350286727e-4,2.1412963664894563e-5,1.0655257884470928e-5,3.90074252751918e-5
Sha3_256/ExMemory 7900,6.475460077980368e-4,6.46713709376205e-4,6.500022853580948e-4,4.709910585328109e-6,2.4954359666834278e-6,8.804042572637663e-6
Sha3_256/ExMemory 8000,6.693651960811739e-4,6.631872500850263e-4,6.827899118596245e-4,3.0375438071400904e-5,2.0116992446770664e-5,4.574875879365865e-5
Sha3_256/ExMemory 8100,6.64073484242917e-4,6.633439082176575e-4,6.654888021656348e-4,3.6119222034739855e-6,2.2333123075552345e-6,6.6209241865540644e-6
Sha3_256/ExMemory 8200,6.763242022246695e-4,6.729683326127656e-4,6.842251173339127e-4,2.027753885245357e-5,8.578336885164633e-6,3.328979144774963e-5
Sha3_256/ExMemory 8300,6.832948723847422e-4,6.804751643515956e-4,6.888669046095543e-4,1.2448437165957992e-5,5.306907030804526e-6,2.0970329903409764e-5
Sha3_256/ExMemory 8400,6.923953687735741e-4,6.890001937447633e-4,7.054288933569552e-4,1.9060704222423425e-5,5.757506550091268e-6,4.088406760876205e-5
Sha3_256/ExMemory 8500,7.023580815925085e-4,6.987508158717859e-4,7.084995263338942e-4,1.6855981890933076e-5,1.0020692762848611e-5,2.393703295361115e-5
Sha3_256/ExMemory 8600,7.043948664156704e-4,7.029027900889422e-4,7.078101866440694e-4,7.460878212721776e-6,2.7264500721169026e-6,1.3429486617321926e-5
Sha3_256/ExMemory 8700,7.193677220075566e-4,7.131900018981901e-4,7.306252156464641e-4,2.4652577046979336e-5,1.0590959500391936e-5,4.3977600105146215e-5
Sha3_256/ExMemory 8800,7.202628501378343e-4,7.192713558301178e-4,7.22008711520197e-4,4.4132836521606535e-6,1.613151570073178e-6,8.847202405454888e-6
Sha3_256/ExMemory 8900,7.369377734826843e-4,7.31718404525663e-4,7.445531617360379e-4,2.3622423451312696e-5,1.3529959372099121e-5,3.488843116718727e-5
Sha3_256/ExMemory 9000,7.380241061366717e-4,7.366888692202188e-4,7.411554447954335e-4,7.309777420802606e-6,2.8389018122548564e-6,1.318059997381836e-5
Sha3_256/ExMemory 9100,7.481067473338974e-4,7.459464157951506e-4,7.541335749215362e-4,1.1107714994740901e-5,5.187989885284202e-6,1.976743074322333e-5
Sha3_256/ExMemory 9200,7.551485725325509e-4,7.532087705363275e-4,7.59996486710104e-4,9.687662445401755e-6,2.555942314373309e-6,2.0316299664113985e-5
Sha3_256/ExMemory 9300,7.670846005081944e-4,7.628129235764831e-4,7.88569887702519e-4,2.367245623252165e-5,1.1568010177600113e-5,5.1461228903903164e-5
Sha3_256/ExMemory 9400,7.738039861900817e-4,7.70457614943272e-4,7.812771653434382e-4,1.583903407801669e-5,7.333666262592886e-6,2.5542501854451026e-5
Sha3_256/ExMemory 9500,7.778870849127639e-4,7.766502715233043e-4,7.811945797637058e-4,6.129949514227768e-6,2.3522149704863633e-6,1.1746661548060778e-5
Sha3_256/ExMemory 9600,7.891100758506336e-4,7.856041719705622e-4,7.979606670281926e-4,1.4937372347931943e-5,5.722175012444814e-6,2.4867592953115876e-5
Sha3_256/ExMemory 9700,7.942039377473731e-4,7.930528274735517e-4,7.98505346711541e-4,6.709306300707869e-6,1.7524943265915124e-6,1.3670180647297488e-5
