Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
AddInteger/ExMemory 0/ExMemory 13,1.7268448092413636e-5,1.7210947206169937e-5,1.731374819039275e-5,1.70212224689494e-7,1.4213618769473458e-7,2.161816368233202e-7
AddInteger/ExMemory 0/ExMemory 27,1.7661945064337273e-5,1.7413305567888467e-5,1.832753393608738e-5,1.1971820239173996e-6,2.033269473616484e-7,2.2432386636736615e-6
AddInteger/ExMemory 0/ExMemory 54,1.7850395629201587e-5,1.766858591419027e-5,1.8184275907169813e-5,7.993564875171701e-7,5.060564803817065e-7,1.2240205757302682e-6
AddInteger/ExMemory 0/ExMemory 108,1.8024939108614128e-5,1.7907118950900524e-5,1.8313741115444908e-5,6.13123439879568e-7,2.7523366612604885e-7,1.1669162881288223e-6
AddInteger/ExMemory 0/ExMemory 216,1.9144381724336753e-5,1.871942335839768e-5,1.994345140576681e-5,1.8849100367267216e-6,9.295197553278752e-7,3.3840712411115895e-6
AddInteger/ExMemory 0/ExMemory 432,2.017280239394882e-5,1.9904909179485514e-5,2.073926343615005e-5,1.2198641235967478e-6,6.563500865158042e-7,1.8861058865632327e-6
AddInteger/ExMemory 0/ExMemory 865,2.4197214556628166e-5,2.4075251378650316e-5,2.441954135688348e-5,5.583781106361311e-7,3.113038796297117e-7,9.286047838625378e-7
AddInteger/ExMemory 0/ExMemory 1731,3.015881332316416e-5,2.9992812198239687e-5,3.067850732695767e-5,8.98100599465038e-7,2.9648206174181343e-7,1.8108586445592448e-6
AddInteger/ExMemory 0/ExMemory 0,1.533324732096063e-5,1.5143019048597424e-5,1.5866900032082154e-5,1.0430036933877032e-6,4.266213737143321e-7,1.8844648051506317e-6
AddInteger/ExMemory 0/ExMemory 0,1.5284100295121188e-5,1.5152458240679404e-5,1.553185528714584e-5,5.683762128614228e-7,2.809068478900955e-7,9.524573544532374e-7
AddInteger/ExMemory 0/ExMemory 0,1.537725029419492e-5,1.5152964022187617e-5,1.595965632780417e-5,1.1351020874311764e-6,3.5764618351247833e-7,2.2777673534202724e-6
