Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
DivideInteger/ExMemory 0/ExMemory 26,1.943923646487744e-6,1.8566025835860937e-6,2.05412770462106e-6,3.491501594116978e-7,3.045320526497925e-7,4.0800991664523717e-7
DivideInteger/ExMemory 0/ExMemory 264,1.7577492492247447e-6,1.7043716792542029e-6,1.8078541220870651e-6,1.864387230392475e-7,1.3418110883799288e-7,2.304039974252831e-7
DivideInteger/ExMemory 0/ExMemory 2641,1.8559172869038436e-6,1.7899883452936168e-6,1.9217948644575752e-6,2.360727620323816e-7,1.786835584709538e-7,2.9901372030150357e-7
DivideInteger/ExMemory 0/ExMemory 26416,1.6429352735907165e-6,1.5828204576790188e-6,1.732717793336496e-6,2.4791374760272846e-7,1.733701653715328e-7,3.5983896083241476e-7
DivideInteger/ExMemory 0/ExMemory 264160,1.7117001730052056e-6,1.6532349346753512e-6,1.7811043191764739e-6,2.0679846006192483e-7,1.739936260743578e-7,2.530942609921757e-7
DivideInteger/ExMemory 0/ExMemory 2641604,1.5502196679830593e-6,1.5010686665753825e-6,1.619829418899834e-6,1.7860001972924244e-7,1.326289655037874e-7,2.504041220843758e-7
DivideInteger/ExMemory 1/ExMemory 0,1.7160786442142843e-6,1.6753223782313498e-6,1.789486095930918e-6,1.8299652478820683e-7,1.4631519504626718e-7,2.422860146042711e-7
DivideInteger/ExMemory 1/ExMemory 0,1.6964671162599069e-6,1.625481620391529e-6,1.7835568466690416e-6,2.3696990387772344e-7,2.0313970373269317e-7,3.029326257152921e-7
DivideInteger/ExMemory 1/ExMemory 0,1.8270949724266778e-6,1.7712147006073595e-6,1.9017739387855355e-6,2.0224400381232517e-7,1.5273230460441742e-7,2.5483571613780437e-7
DivideInteger/ExMemory 1/ExMemory 0,1.630697920612279e-6,1.59528551471815e-6,1.6812027459509734e-6,1.5520445393400864e-7,1.285567587566503e-7,1.9533260992679084e-7
DivideInteger/ExMemory 1/ExMemory 0,1.5799478114453627e-6,1.542406271707288e-6,1.6214602813417014e-6,1.5333951185261079e-7,1.2530775550349643e-7,1.883238991664264e-7
DivideInteger/ExMemory 1/ExMemory 1,1.8970706720102655e-6,1.8218652402060266e-6,1.9827887090945483e-6,2.770420705378067e-7,2.1623698600644987e-7,3.5230782699530353e-7
DivideInteger/ExMemory 1/ExMemory 3,1.5528168928027486e-6,1.5189228946192508e-6,1.596320054190035e-6,1.46038325679869e-7,1.1889040100000032e-7,1.884194001893219e-7
DivideInteger/ExMemory 1/ExMemory 6,1.8198982345872936e-6,1.7642482654042916e-6,1.864020709971944e-6,1.756325130452729e-7,1.345410454990716e-7,2.2829037420498612e-7
DivideInteger/ExMemory 1/ExMemory 13,1.7136281796167683e-6,1.6365573786816823e-6,1.7870933889662316e-6,2.3924718738130103e-7,2.0883192109983276e-7,2.8423000759792026e-7
DivideInteger/ExMemory 1/ExMemory 26,1.7153260587429258e-6,1.6547606858640984e-6,1.7991098596209261e-6,2.4417142065491493e-7,1.725966491639666e-7,3.2238417498438215e-7
